Species,abrev,Specimen number,ASC-R,PSC-R,LSC-R,SC-R,BM
Carpolestes simpsonia,Cs,USNM 482354,1,0.9,0.8,0.9,100
Carpolestes simpsoni,Cs,UM 101963,1.1,0.9,0.9,1,100
Dryomomys szalayi,Ds,UM 41870,0.9,0.8,0.8,0.8,37
Tinimomys graybulliensis,Tg,UM 85176,0.8,0.6,0.7,0.7,38
Microsyops cf. latidensa,Ml,AMNH 55286,1.5,1.3,1.3,1.4,1243
Microsyops annectens,Ma,UW 12362,1.4,1.2,0,0,2568
Ignacius graybullianus,Ig,USNM 421608,1.3,1.2,1.1,1.2,375
Plesiadapis cookei,Pc,UM 87990,1.9,1.7,1.4,1.7,2200
Plesiadapis tricuspidens,Pt,MNHN isolated petrosal,0,0,1.2,0,2656
Pronothodectes gaoi,Pg,UALVP 46685,1.3,1.3,1.1,1.3,777
Pronothodectes gaoi,Pg,UALVP 46687,1,1.1,0,0,777
Adapis sp.,Ad,MNHN QU 11064,1.8,1.5,1.6,1.7,1059
Adapis sp.,Ad,PLV14,1.8,1.7,1.4,1.6,1562
Adapis parisiensis,Ad,BM(NH) M 1345,1.9,1.7,1.6,1.7,2365
Adapis parisiensis,Ad,MaPhQ 339,1.6,1.5,1.4,1.5,1872
Magnadapis quercyi,Mq,MNHN-QU10875,2.2,1.9,1.8,2,5663
Magnadapis aff. intermedius,Mn,MNHN-QU11035,2.3,1.9,1.8,2,15050
Leptadapis leenhardti,Le,YPM11481,2.1,1.8,1.8,1.9,3742
Cantius nuniensis,Cn,UM 103510,1.5,1.4,1.5,1.5,2274
Notharctus tenebrosus,Nt,AMNH 127167,2,1.6,1.8,1.8,1299
Notharctus tenebrosus,Nt,AMNH 131764,2.1,1.9,2,2,1461
Smilodectes gracilis,Sg,AMNH 131762,0,1.7,1.8,0,1010
Smilodectes gracilis,Sg,UM 32773,2,1.6,1.7,1.8,629
Omomys carteri,Oc,UCM 57459,0,0,1.3,0,230
Omomys carteri,Oc,UCM 57460,0,0,1.3,0,230
Shoshonius cooperi,Sc,CM 60492,0,1,1,0,73
Microchoerus sp.,Mi,MU-PRR 1771,1.9,1.5,1.7,1.7,375
Necrolemur antiquus,Na,MNHN-QU 11059b,1.6,1.3,1.4,1.5,258
Rooneyia viejaensis,Rv,TMM 40 688-7,1.6,1.2,1.5,1.4,381
