Species,N,Order,Family,BM,AGILITY,AGILITY2,ASCR,PSCR,LSCR,SCR,ASCR MAMMAL PREDICTION,PSCR MAMMAL PREDICTION,LSCR MAMMAL PREDICTION,SCR MAMMAL PREDICTION,ASCR PRIMATE PREDICTION,PSCR PRIMATE PREDICTION,LSCR PRIMATE PREDICTION,SCR PRIMATE PREDICTION,,prosthion-inion
Bos taurus,2,Artiodactyla,Bovidae,290000,m,4,3.5,3.3,2.8,3.2,2.5,2.6,2.6,2.5,,,,,,
Camelus dromedarius,1,Artiodactyla,Camelidae,415000,m,4,4.3,3.4,3.1,3.6,2.7,2.5,2.7,2.7,,,,,,
Gazella bennetti,1,Artiodactyla,Bovidae,23000,m,4,3,2.8,2.1,2.6,3.3,3.3,3.1,3.4,,,,,,
Giraffa camelopardalis,1,Artiodactyla,Giraffidae,895929,ms,3,4,3.9,3.2,3.7,2.3,2.4,2.4,2.4,,,,,,
Hippopotamus amphibius,2,Artiodactyla,Hippopotamidae,1140500,ms,3,4.3,4.2,4,4.2,2.3,2.5,2.8,2.5,,,,,,
Oryx beisa,1,Artiodactyla,Bovidae,198625,m,4,3.3,2.7,2.7,2.9,2.6,2.4,2.6,2.5,,,,,,
Ovis aries,1,Artiodactyla,Bovidae,33750,m,4,2.6,2.5,1.9,2.3,2.8,3,2.7,2.8,,,,,,
Sus scrofa,1,Artiodactyla,Suidae,55000,m,4,2.5,2.4,1.8,2.2,2.5,2.6,2.4,2.4,,,,,,
Canis familiaris,2,Carnivora,Canidae,13850,m,4,2.4,2.1,2,2.2,3.1,3,3.3,3.1,,,,,,
Enhydra lutris,2,Carnivora,Mustelidae,27050,mf,5,2,2.2,2.1,2.1,2.5,2.8,3,2.7,,,,,,
Felis catus,1,Carnivora,Felidae,3601,m,4,1.9,1.8,1.7,1.8,3.2,3.3,3.6,3.3,,,,,,
Felis concolor,1,Carnivora,Felidae,56425,mf,5,2.6,2.6,2.2,2.5,2.6,2.8,2.8,2.7,,,,,,
Herpestes ichneumon,1,Carnivora,Viverridae,2981,m,4,1.5,1.8,1.5,1.6,2.7,3.3,3.4,3.1,,,,,,
Lutra lutra,1,Carnivora,Mustelidae,8175,mf,5,2,1.8,1.9,1.9,2.9,2.9,3.4,3,,,,,,
Lynx rufus,1,Carnivora,Felidae,9750,m,4,2.3,2.4,2.1,2.3,3.2,3.4,3.6,3.5,,,,,,
Mustela nivalis,1,Carnivora,Mustelidae,87,m,4,1.1,1.2,1,1.1,3.8,4.4,4.4,4.2,,,,,,
Nyctereutes procyonoideus,1,Carnivora,Canidae,4500,ms,3,2,1.8,1.4,1.7,3.2,3.1,3,3.1,,,,,,
Panthera leo,1,Carnivora,Felidae,148750,m,4,3.3,3.3,3.2,3.3,2.7,2.8,3.2,2.9,,,,,,
Panthera tigris,2,Carnivora,Felidae,150100,m,4,3.2,2.9,2.8,3,2.6,2.6,2.9,2.7,,,,,,
